Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(Pa),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
47,-0.232477,-2.25897,-3.46042,0.632628,1724.73,-60.7786,51.121,1722.44,35.2555,0,0,0.00120473,0.0001817,-0.00925365,0.556671,-0.0539265,0.560895,0,0
48,-0.219939,-2.25952,-3.46178,0.645252,1722.94,-58.5664,52.4265,1720.74,35.5343,0,0,0.00120473,0.0001817,-0.00799207,0.565733,-0.0497258,0.56963,0,0
49,-0.207401,-2.26008,-3.46315,0.657876,1721.15,-56.3542,53.7321,1719.03,35.8131,0,0,0.00120473,0.0001817,-0.00673048,0.574795,-0.0455251,0.578366,0,0
50,-0.194863,-2.26063,-3.46451,0.670499,1719.36,-54.142,55.0377,1717.32,36.0919,0,0,0.00120473,0.0001817,-0.00546889,0.583857,-0.0413244,0.587101,0,0
51,-0.182325,-2.26118,-3.46587,0.683123,1717.57,-51.9297,56.3432,1715.61,36.3707,0,0,0.00120473,0.0001817,-0.00420731,0.592919,-0.0371237,0.595837,0,0
52,-0.169787,-2.26174,-3.46723,0.695747,1713.63,-49.1377,56.8262,1711.74,36.6322,0,0,0.00120473,0.0001817,-0.00304435,0.597645,-0.0326353,0.600311,0,0
53,-0.157249,-2.26229,-3.46859,0.708371,1708.81,-46.1058,56.9688,1706.98,36.8866,0,0,0.00120473,0.0001817,-0.00192218,0.600576,-0.028028,0.603023,0,0
54,-0.144711,-2.26284,-3.46996,0.720995,1703.98,-43.0738,57.1114,1702.21,37.141,0,0,0.00120473,0.0001817,-0.000800008,0.603507,-0.0234206,0.605735,0,0
55,-0.132173,-2.2634,-3.47132,0.733618,1699.15,-40.0419,57.254,1697.44,37.3954,0,0,0.00120473,0.0001817,0.000322158,0.606438,-0.0188132,0.608447,0,0
56,-0.119635,-2.26395,-3.47268,0.746242,1694.32,-37.01,57.3966,1692.68,37.6498,0,0,0.00120473,0.0001817,0.00144432,0.609369,-0.0142059,0.611158,0,0
57,-0.107098,-2.2645,-3.47404,0.758866,1689.49,-33.978,57.5392,1687.91,37.9042,0,0,0.00120473,0.0001817,0.00256649,0.6123,-0.00959852,0.61387,0,0
58,-0.0945596,-2.26505,-3.4754,0.77149,1684.67,-30.9461,57.6819,1683.14,38.1586,0,0,0.00120473,0.0001817,0.00368866,0.615231,-0.00499115,0.616582,0,0
59,-0.0820217,-2.26561,-3.47676,0.784113,1679.84,-27.9142,57.8245,1678.38,38.4129,0,0,0.00120473,0.0001817,0.00481083,0.618162,-0.000383778,0.619294,0,0
60,-0.0694837,-2.26616,-3.47813,0.796737,1675.01,-24.8822,57.9671,1673.61,38.6673,0,0,0.00120473,0.0001817,0.005933,0.621093,0.00422359,0.622005,0,0
61,-0.0569458,-2.26671,-3.47949,0.809361,1670.18,-21.8503,58.1097,1668.84,38.9217,0,0,0.00120473,0.0001817,0.00705516,0.624023,0.00883095,0.624717,0,0
62,-0.0512649,-2.26696,-3.49145,0.822609,1671.98,-20.6864,57.5774,1670.67,39.7419,0,0,0.00120473,0.0001817,0.00740733,0.620656,0.0100382,0.621307,0,0
63,-0.0455841,-2.26722,-3.50342,0.835856,1673.76,-19.7816,56.9347,1672.48,40.5945,0,0,0.00120473,0.0001817,0.00783574,0.614935,0.0111056,0.615595,0,0
64,-0.0399032,-2.26747,-3.51538,0.849104,1675.54,-18.8769,56.292,1674.28,41.447,0,0,0.00120473,0.0001817,0.00826416,0.609214,0.0121729,0.609883,0,0
65,-0.0342223,-2.26772,-3.52735,0.862352,1677.33,-17.9721,55.6493,1676.09,42.2996,0,0,0.00120473,0.0001817,0.00869257,0.603493,0.0132403,0.604172,0,0
66,-0.0285414,-2.26797,-3.53931,0.875599,1679.11,-17.0673,55.0066,1677.89,43.1522,0,0,0.00120473,0.0001817,0.00912098,0.597772,0.0143076,0.59846,0,0
67,-0.0228605,-2.26822,-3.55128,0.888847,1680.89,-16.1625,54.3639,1679.7,44.0048,0,0,0.00120473,0.0001817,0.00954939,0.59205,0.015375,0.592748,0,0
68,-0.0171796,-2.26847,-3.56324,0.902095,1682.67,-15.2577,53.7212,1681.51,44.8573,0,0,0.00120473,0.0001817,0.00997781,0.586329,0.0164424,0.587036,0,0
69,-0.0114988,-2.26872,-3.57521,0.915342,1684.45,-14.353,53.0785,1683.31,45.7099,0,0,0.00120473,0.0001817,0.0104062,0.580608,0.0175097,0.581324,0,0
70,-0.00581789,-2.26897,-3.58717,0.92859,1686.23,-13.4482,52.4358,1685.12,46.5624,0,0,0.00120473,0.0001817,0.0108346,0.574887,0.0185771,0.575612,0,0
71,-0.000137005,-2.26922,-3.59914,0.941837,1688.01,-12.5434,51.7931,1686.93,47.415,0,0,0.00120473,0.0001817,0.011263,0.569165,0.0196444,0.5699,0,0
72,0.00554388,-2.26947,-3.6111,0.955085,1689.8,-11.6386,51.1504,1688.73,48.2676,0,0,0.00120473,0.0001817,0.0116915,0.563444,0.0207118,0.564189,0,0
73,0.0112248,-2.26972,-3.62307,0.968333,1691.58,-10.7338,50.5077,1690.54,49.1201,0,0,0.00120473,0.0001817,0.0121199,0.557723,0.0217791,0.558477,0,0
74,0.0169056,-2.26997,-3.63504,0.98158,1693.36,-9.82905,49.865,1692.34,49.9727,0,0,0.00120473,0.0001817,0.0125483,0.552002,0.0228465,0.552765,0,0
75,0.0225865,-2.27022,-3.647,0.994828,1698.3,-7.88385,49.2787,1697.27,50.7195,0,0,0.00120473,0.0001817,0.0124305,0.551504,0.023397,0.552322,0,0
76,0.0282674,-2.27047,-3.65897,1.00808,1704.03,-5.67805,48.7065,1702.97,51.4398,0,0,0.00120473,0.0001817,0.0121759,0.552315,0.023818,0.553199,0,0
77,0.0339483,-2.27072,-3.67093,1.02132,1709.76,-3.47226,48.1343,1708.68,52.1602,0,0,0.00120473,0.0001817,0.0119213,0.553126,0.0242391,0.554076,0,0
78,0.0396292,-2.27097,-3.6829,1.03457,1715.5,-1.26646,47.5621,1714.38,52.8805,0,0,0.00120473,0.0001817,0.0116667,0.553937,0.0246602,0.554952,0,0
79,0.04531,-2.27123,-3.69486,1.04782,1721.23,0.939293,46.9899,1720.09,53.6008,0,0,0.00120473,0.0001817,0.0114121,0.554748,0.0250812,0.555829,0,0
80,0.0509909,-2.27148,-3.70683,1.06107,1726.96,3.14509,46.4177,1725.79,54.3211,0,0,0.00120473,0.0001817,0.0111575,0.555559,0.0255023,0.556706,0,0
81,0.0566718,-2.27173,-3.71879,1.07431,1731.65,6.39602,45.1854,1730.48,54.7757,0,0,0.00120473,0.0001817,0.00984047,0.563324,0.0288395,0.564737,0,0
82,0.0515433,-2.2715,-3.72861,1.08539,1733.33,6.54777,44.1842,1732.23,54.9262,0,0,0.00120473,0.0001817,0.00802017,0.5726,0.0309027,0.574137,0,0
83,0.0464148,-2.27127,-3.73842,1.09647,1735.01,6.69956,43.1829,1733.98,55.0768,0,0,0.00120473,0.0001817,0.00619983,0.581876,0.032966,0.583537,0,0
84,0.0412864,-2.27105,-3.74824,1.10755,1735.92,6.89988,42.5272,1734.95,55.3999,0,0,0.00120473,0.0001817,0.00484904,0.587043,0.0336006,0.588721,0,0
85,0.0361579,-2.27082,-3.75806,1.11863,1735.79,7.16594,42.3399,1734.85,55.9567,0,0,0.00120473,0.0001817,0.00413476,0.586639,0.0322984,0.588187,0,0
86,0.0310294,-2.2706,-3.76787,1.1297,1735.66,7.432,42.1525,1734.74,56.5135,0,0,0.00120473,0.0001817,0.00342048,0.586234,0.0309962,0.587654,0,0
87,0.0259009,-2.27037,-3.77769,1.14078,1735.53,7.6981,41.9651,1734.64,57.0703,0,0,0.00120473,0.0001817,0.00270618,0.58583,0.029694,0.587121,0,0
88,0.0207724,-2.27014,-3.78751,1.15186,1735.4,7.96421,41.7777,1734.54,57.6272,0,0,0.00120473,0.0001817,0.00199188,0.585425,0.0283918,0.586588,0,0
89,0.015644,-2.26992,-3.79733,1.16294,1735.27,8.23027,41.5904,1734.43,58.184,0,0,0.00120473,0.0001817,0.0012776,0.585021,0.0270896,0.586055,0,0
90,0.0105155,-2.26969,-3.80714,1.17402,1735.14,8.49633,41.403,1734.33,58.7408,0,0,0.00120473,0.0001817,0.000563325,0.584617,0.0257874,0.585522,0,0
91,0.005387,-2.26946,-3.81696,1.18509,1735.01,8.76243,41.2156,1734.23,59.2977,0,0,0.00120473,0.0001817,-0.000150976,0.584212,0.0244852,0.584988,0,0
92,0.000258518,-2.26924,-3.82678,1.19617,1735.71,7.9927,40.7814,1734.94,59.851,0,0,0.00120473,0.0001817,-0.000365835,0.575836,0.021105,0.576359,0,0
93,-0.00486996,-2.26901,-3.83659,1.20725,1740.11,6.88935,40.0279,1739.41,60.366,0,0,0.00120473,0.0001817,-0.000492205,0.575538,0.0199326,0.575964,0,0
94,-0.00999844,-2.26879,-3.84641,1.21833,1746.73,5.84882,38.9353,1746.05,60.7218,0,0,0.00120473,0.0001817,-0.000987646,0.57999,0.0180034,0.580409,0,0
95,-0.0151269,-2.26856,-3.85623,1.22941,1753.35,4.80831,37.8426,1752.68,61.0777,0,0,0.00120473,0.0001817,-0.00148309,0.584441,0.0160743,0.584854,0,0
96,-0.0202554,-2.26833,-3.86604,1.24048,1759.96,3.76779,36.7499,1759.32,61.4336,0,0,0.00120473,0.0001817,-0.00197854,0.588892,0.0141451,0.589298,0,0
97,-0.0253839,-2.26811,-3.87586,1.25156,1766.58,2.72726,35.6573,1765.96,61.7895,0,0,0.00120473,0.0001817,-0.00247398,0.593344,0.012216,0.593743,0,0
98,-0.0305124,-2.26788,-3.88568,1.26264,1773.19,1.68673,34.5646,1772.59,62.1454,0,0,0.00120473,0.0001817,-0.00296942,0.597795,0.0102869,0.598188,0,0
99,-0.0356408,-2.26765,-3.89549,1.27372,1779.81,0.646217,33.4719,1779.23,62.5013,0,0,0.00120473,0.0001817,-0.00346487,0.602247,0.0083577,0.602633,0,0
100,-0.0407693,-2.26743,-3.90531,1.2848,1786.43,-0.3943,32.3793,1785.87,62.8572,0,0,0.00120473,0.0001817,-0.00396032,0.606698,0.00642856,0.607077,0,0
101,-0.0458978,-2.2672,-3.91513,1.29587,1793.04,-1.43483,31.2866,1792.5,63.2131,0,0,0.00120473,0.0001817,-0.00445576,0.611149,0.00449941,0.611522,0,0
102,-0.0570847,-2.26671,-3.9176,1.30734,1799.22,-4.52059,30.9838,1798.68,63.1266,0,0,0.00120473,0.0001817,-0.00488071,0.62413,0.000635827,0.624493,0,0
103,-0.0682716,-2.26621,-3.92008,1.31881,1805.4,-7.60635,30.681,1804.86,63.04,0,0,0.00120473,0.0001817,-0.00530566,0.63711,-0.00322776,0.637463,0,0
104,-0.0794585,-2.26572,-3.92256,1.33028,1811.58,-10.6921,30.3782,1811.04,62.9535,0,0,0.00120473,0.0001817,-0.0057306,0.650091,-0.00709134,0.650434,0,0
105,-0.0906454,-2.26523,-3.92504,1.34175,1817.76,-13.7779,30.0754,1817.22,62.867,0,0,0.00120473,0.0001817,-0.00615555,0.663071,-0.0109549,0.663404,0,0
106,-0.101832,-2.26473,-3.92751,1.35322,1823.21,-16.862,29.726,1822.66,62.7911,0,0,0.00120473,0.0001817,-0.00642744,0.671878,-0.014565,0.672247,0,0
107,-0.113019,-2.26424,-3.92999,1.36468,1826.96,-20.0922,29.2116,1826.33,62.7369,0,0,0.00120473,0.0001817,-0.00615536,0.666212,-0.018164,0.666848,0,0
108,-0.124206,-2.26375,-3.93247,1.37615,1831.89,-23.8736,28.5694,1831.03,62.6537,0,0,0.00120473,0.0001817,-0.00545817,0.650281,-0.0243169,0.65156,0,0
109,-0.135393,-2.26325,-3.93495,1.38762,1836.81,-27.655,27.9272,1835.72,62.5705,0,0,0.00120473,0.0001817,-0.00476099,0.63435,-0.0304697,0.636273,0,0
110,-0.14658,-2.26276,-3.93742,1.39909,1841.74,-31.4364,27.285,1840.42,62.4873,0,0,0.00120473,0.0001817,-0.0040638,0.618419,-0.0366226,0.620985,0,0
111,-0.157767,-2.26227,-3.9399,1.41056,1846.67,-35.2178,26.6428,1845.12,62.4042,0,0,0.00120473,0.0001817,-0.0033666,0.602487,-0.0427755,0.605697,0,0
112,-0.168954,-2.26177,-3.94238,1.42203,1851.59,-38.9992,26.0007,1849.82,62.321,0,0,0.00120473,0.0001817,-0.00266942,0.586556,-0.0489283,0.590409,0,0
113,-0.180141,-2.26128,-3.94486,1.4335,1856.52,-42.7806,25.3585,1854.51,62.2378,0,0,0.00120473,0.0001817,-0.00197223,0.570625,-0.0550812,0.575121,0,0
114,-0.191328,-2.26079,-3.94734,1.44497,1860.12,-46.3325,25.1256,1857.98,62.1661,0,0,0.00120473,0.0001817,-0.00121726,0.560296,-0.0593924,0.565238,0,0
115,-0.202515,-2.26029,-3.94981,1.45643,1862.35,-49.6478,25.3145,1860.17,62.1062,0,0,0.00120473,0.0001817,-0.000402715,0.555741,-0.0618058,0.560925,0,0
116,-0.213701,-2.2598,-3.95229,1.4679,1864.59,-52.9632,25.5035,1862.36,62.0463,0,0,0.00120473,0.0001817,0.000411826,0.551185,-0.0642192,0.556611,0,0
117,-0.224888,-2.25931,-3.95477,1.47937,1866.82,-56.2785,25.6924,1864.55,61.9864,0,0,0.00120473,0.0001817,0.00122637,0.54663,-0.0666326,0.552297,0,0
118,-0.236075,-2.25881,-3.95725,1.49084,1869.06,-59.5938,25.8814,1866.74,61.9265,0,0,0.00120473,0.0001817,0.00204091,0.542075,-0.0690459,0.547984,0,0
119,-0.247262,-2.25832,-3.95972,1.50231,1871.3,-62.9091,26.0704,1868.94,61.8666,0,0,0.00120473,0.0001817,0.00285545,0.537519,-0.0714593,0.54367,0,0
120,-0.258449,-2.25782,-3.9622,1.51378,1873.53,-66.2245,26.2593,1871.13,61.8067,0,0,0.00120473,0.0001817,0.00366999,0.532964,-0.0738727,0.539356,0,0
121,-0.269636,-2.25733,-3.96468,1.52525,1875.77,-69.5398,26.4482,1873.32,61.7468,0,0,0.00120473,0.0001817,0.00448453,0.528408,-0.076286,0.535043,0,0
,,,,,,,,Real,48.14063884,,,,,,,,,,
,,,,,,,,Meas,73.884,,,,,,,,,,
