Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(Pa),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
60,-0.106052,-2.32051,-3.61979,1.57817,1912.94,-36.3259,6.36062,1905.89,40.835,0,0,0.00120473,0.0001817,-0.197432,14.5337,-0.00271441,14.5631,0.00196549,0
61,-0.0793907,-2.32057,-3.61842,1.60486,1912.91,-32.1724,6.3898,1905.84,40.82,0,0,0.00120473,0.0001817,-0.173331,14.5397,-0.00211462,14.5691,0.00196756,0
62,-0.0706146,-2.32077,-3.64023,1.62838,1910.19,-30.739,6.41398,1903.19,41.3074,0,0,0.00120473,0.0001817,-0.163212,14.5455,-0.0018912,14.5746,0.00197314,0
63,-0.0618386,-2.32097,-3.66204,1.65189,1907.47,-29.309,6.43808,1900.54,41.7948,0,0,0.00120473,0.0001817,-0.153076,14.5513,-0.00166772,14.58,0.00197871,0
64,-0.0530625,-2.32117,-3.68386,1.6754,1904.76,-27.8826,6.4621,1897.89,42.2824,0,0,0.00120473,0.0001817,-0.142925,14.5571,-0.00144418,14.5855,0.00198429,0
65,-0.0442865,-2.32137,-3.70567,1.69891,1902.04,-26.4596,6.48604,1895.24,42.77,0,0,0.00120473,0.0001817,-0.132757,14.5629,-0.00122058,14.5909,0.00198986,0
66,-0.0355104,-2.32157,-3.72748,1.72243,1899.32,-25.0401,6.50991,1892.59,43.2576,0,0,0.00120473,0.0001817,-0.122574,14.5686,-0.000996919,14.5963,0.00199542,0
67,-0.0267344,-2.32177,-3.74929,1.74594,1896.61,-23.6242,6.5337,1889.95,43.7454,0,0,0.00120473,0.0001817,-0.112374,14.5744,-0.0007732,14.6018,0.00200098,0
68,-0.0179584,-2.32197,-3.77111,1.76945,1893.9,-22.2117,6.55742,1887.31,44.2332,0,0,0.00120473,0.0001817,-0.102158,14.5801,-0.000549423,14.6072,0.00200654,0
69,-0.00918231,-2.32217,-3.79292,1.79296,1891.19,-20.8027,6.58105,1884.67,44.7211,0,0,0.00120473,0.0001817,-0.0919253,14.5858,-0.000325586,14.6125,0.0020121,0
70,-0.00040627,-2.32237,-3.81473,1.81648,1888.48,-19.3973,6.60461,1882.03,45.209,0,0,0.00120473,0.0001817,-0.081677,14.5915,-0.00010169,14.6179,0.00201765,0
71,0.00836977,-2.32257,-3.83654,1.83999,1885.77,-17.9952,6.62809,1879.38,45.6971,0,0,0.00120473,0.0001817,-0.0714126,14.5973,0.000122266,14.6233,0.0020232,0
72,0.0171458,-2.32277,-3.85835,1.8635,1883.07,-16.5967,6.65149,1876.75,46.1852,0,0,0.00120473,0.0001817,-0.0611321,14.6029,0.000346281,14.6286,0.00202875,0
73,0.0259219,-2.32298,-3.88017,1.88701,1880.36,-15.2017,6.67482,1874.11,46.6734,0,0,0.00120473,0.0001817,-0.0508354,14.6086,0.000570355,14.634,0.00203429,0
74,0.0346979,-2.32318,-3.90198,1.91053,1877.66,-13.8102,6.69808,1871.48,47.1616,0,0,0.00120473,0.0001817,-0.0405226,14.6143,0.000794489,14.6393,0.00203983,0
75,0.0434739,-2.32338,-3.92379,1.93404,1874.96,-12.4222,6.72125,1868.84,47.65,0,0,0.00120473,0.0001817,-0.0301937,14.6199,0.00101868,14.6446,0.00204537,0
76,0.05225,-2.32358,-3.9456,1.95755,1872.26,-11.0376,6.74435,1866.21,48.1384,0,0,0.00120473,0.0001817,-0.0198488,14.6256,0.00124293,14.6499,0.0020509,0
77,0.061026,-2.32378,-3.96742,1.98106,1869.56,-9.65655,6.76737,1863.58,48.6268,0,0,0.00120473,0.0001817,-0.0094877,14.6312,0.00146724,14.6552,0.00205643,0
78,0.0698021,-2.32398,-3.98923,2.00458,1866.86,-8.27895,6.7903,1860.94,49.1154,0,0,0.00120473,0.0001817,0.000889401,14.6368,0.00169161,14.6605,0.00206197,0
79,0.0785781,-2.32418,-4.01104,2.02809,1864.17,-6.90484,6.81317,1858.32,49.604,0,0,0.00120473,0.0001817,0.0112826,14.6424,0.00191604,14.6657,0.00206749,0
80,0.0873542,-2.32438,-4.03285,2.0516,1861.47,-5.53421,6.83596,1855.69,50.0927,0,0,0.00120473,0.0001817,0.0216919,14.648,0.00214053,14.671,0.00207301,0
81,0.0961302,-2.32458,-4.05467,2.07511,1858.78,-4.16705,6.85868,1853.06,50.5814,0,0,0.00120473,0.0001817,0.0321172,14.6536,0.00236508,14.6762,0.00207853,0
82,0.0832991,-2.3247,-4.07331,2.09775,1856.64,-6.0807,6.85594,1850.99,50.9873,0,0,0.00120473,0.0001817,0.0222146,14.6536,0.00209726,14.6759,0.00208141,0
83,0.070468,-2.32482,-4.09196,2.12038,1854.5,-7.99136,6.85319,1848.92,51.3932,0,0,0.00120473,0.0001817,0.0123028,14.6536,0.00182941,14.6757,0.0020843,0
84,0.0576369,-2.32493,-4.1106,2.14302,1852.36,-9.89908,6.85045,1846.85,51.7991,0,0,0.00120473,0.0001817,0.00238183,14.6536,0.00156153,14.6754,0.00208718,0
85,0.0448057,-2.32505,-4.12925,2.16565,1850.23,-11.8038,6.84771,1844.78,52.205,0,0,0.00120473,0.0001817,-0.00754829,14.6536,0.00129363,14.6751,0.00209006,0
86,0.0319746,-2.32517,-4.14789,2.18828,1848.1,-13.7056,6.84496,1842.71,52.611,0,0,0.00120473,0.0001817,-0.0174876,14.6535,0.0010257,14.6748,0.00209293,0
87,0.0191435,-2.32529,-4.16654,2.21092,1845.96,-15.6045,6.84221,1840.65,53.017,0,0,0.00120473,0.0001817,-0.027436,14.6535,0.000757736,14.6744,0.0020958,0
88,0.0063124,-2.32541,-4.18519,2.23355,1843.83,-17.5003,6.83945,1838.58,53.423,0,0,0.00120473,0.0001817,-0.0373937,14.6535,0.000489747,14.6741,0.00209867,0
89,-0.00651872,-2.32552,-4.20383,2.25619,1841.7,-19.3933,6.8367,1836.52,53.8291,0,0,0.00120473,0.0001817,-0.0473605,14.6534,0.000221731,14.6738,0.00210154,0
90,-0.0193498,-2.32564,-4.22248,2.27882,1839.57,-21.2832,6.83394,1834.46,54.2352,0,0,0.00120473,0.0001817,-0.0573364,14.6533,-4.63E-05,14.6734,0.0021044,0
91,-0.032181,-2.32576,-4.24112,2.30146,1837.44,-23.1702,6.83118,1832.39,54.6413,0,0,0.00120473,0.0001817,-0.0673216,14.6533,-0.000314387,14.6731,0.00210727,0
92,-0.0450121,-2.32588,-4.25977,2.32409,1835.32,-25.0543,6.82842,1830.34,55.0475,0,0,0.00120473,0.0001817,-0.0773158,14.6532,-0.000582487,14.6727,0.00211012,0
93,-0.0578432,-2.32599,-4.27841,2.34672,1833.19,-26.9354,6.82565,1828.28,55.4537,0,0,0.00120473,0.0001817,-0.0873192,14.6531,-0.000850615,14.6724,0.00211298,0
94,-0.0706743,-2.32611,-4.29706,2.36936,1831.07,-28.8135,6.82289,1826.22,55.8599,0,0,0.00120473,0.0001817,-0.0973317,14.653,-0.00111877,14.672,0.00211583,0
95,-0.0835054,-2.32623,-4.31571,2.39199,1828.95,-30.6887,6.82012,1824.17,56.2662,0,0,0.00120473,0.0001817,-0.107353,14.6529,-0.00138696,14.6716,0.00211867,0
96,-0.0963365,-2.32635,-4.33435,2.41463,1826.82,-32.5609,6.81735,1822.11,56.6724,0,0,0.00120473,0.0001817,-0.117384,14.6528,-0.00165517,14.6712,0.00212153,0
97,-0.109168,-2.32646,-4.353,2.43726,1824.71,-34.4302,6.81457,1820.06,57.0788,0,0,0.00120473,0.0001817,-0.127424,14.6527,-0.00192341,14.6708,0.00212437,0
98,-0.121999,-2.32658,-4.37164,2.4599,1822.59,-36.2966,6.8118,1818.01,57.4851,0,0,0.00120473,0.0001817,-0.137473,14.6526,-0.00219168,14.6704,0.00212721,0
99,-0.13483,-2.3267,-4.39029,2.48253,1820.47,-38.16,6.80902,1815.95,57.8915,0,0,0.00120473,0.0001817,-0.147532,14.6525,-0.00245997,14.67,0.00213005,0
100,-0.147661,-2.32682,-4.40893,2.50516,1818.35,-40.0204,6.80624,1813.9,58.2979,0,0,0.00120473,0.0001817,-0.157599,14.6523,-0.0027283,14.6696,0.00213288,0
101,-0.160492,-2.32693,-4.42758,2.5278,1816.24,-41.8779,6.80346,1811.86,58.7043,0,0,0.00120473,0.0001817,-0.167675,14.6522,-0.00299665,14.6692,0.00213571,0
,,,,,,,,,47.27704653,,,,,,,,,,
