Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
39,0.601194,-2.5189,-3.99917,0.662496,1310.38,182.229,-68.3204,1290.84,554.739,0,0,0.00120473,0.0001817,0.00777808,0.686305,0.21069,0.724528,0,0
40,0.608247,-2.51892,-3.98516,0.67818,1309.07,179.017,-59.5415,1290.73,568.237,0,0,0.00120473,0.0001817,0.0113572,0.680749,0.211138,0.719378,0,0
41,0.6153,-2.51893,-3.97115,0.693863,1307.77,175.806,-50.7627,1290.61,581.734,0,0,0.00120473,0.0001817,0.0149363,0.675194,0.211585,0.714227,0,0
42,0.61638,-2.51894,-3.95725,0.707811,1291.75,173.093,-43.209,1275.44,595.125,0,0,0.00120473,0.0001817,0.0170208,0.680737,0.213355,0.719633,0,0
43,0.617461,-2.51896,-3.94334,0.721758,1275.72,170.38,-35.6552,1260.27,608.516,0,0,0.00120473,0.0001817,0.0191053,0.686279,0.215124,0.725038,0,0
44,0.618541,-2.51897,-3.92943,0.735705,1259.7,167.667,-28.1015,1245.1,621.907,0,0,0.00120473,0.0001817,0.0211897,0.691822,0.216893,0.730444,0,0
45,0.619621,-2.51898,-3.91553,0.749652,1243.67,164.955,-20.5477,1229.93,635.299,0,0,0.00120473,0.0001817,0.0232742,0.697365,0.218662,0.73585,0,0
46,0.620702,-2.51899,-3.90162,0.763599,1227.64,162.242,-12.994,1214.76,648.69,0,0,0.00120473,0.0001817,0.0253587,0.702907,0.220431,0.741255,0,0
47,0.621782,-2.519,-3.88772,0.777547,1211.62,159.529,-5.44027,1199.59,662.081,0,0,0.00120473,0.0001817,0.0274432,0.70845,0.2222,0.746661,0,0
48,0.622862,-2.51901,-3.87381,0.791494,1195.59,156.816,2.11344,1184.42,675.472,0,0,0.00120473,0.0001817,0.0295277,0.713993,0.22397,0.752066,0,0
49,0.623943,-2.51903,-3.85991,0.805441,1186.49,157.167,6.45268,1175.44,681.845,0,0,0.00120473,0.0001817,0.029203,0.718236,0.223992,0.755677,0,0
50,0.625023,-2.51904,-3.846,0.819388,1180.07,158.507,9.62188,1168.87,685.419,0,0,0.00120473,0.0001817,0.0281144,0.720929,0.222689,0.757414,0,0
51,0.626103,-2.51905,-3.8321,0.833336,1175.04,157.399,13.2857,1163.83,686.208,0,0,0.00120473,0.0001817,0.0291809,0.706807,0.210798,0.740186,0,0
52,0.627184,-2.51906,-3.81819,0.847283,1170.01,156.291,16.9494,1158.79,686.997,0,0,0.00120473,0.0001817,0.0302473,0.692686,0.198907,0.722958,0,0
53,0.628264,-2.51907,-3.80429,0.86123,1167.51,153.992,21.8304,1156.22,687.861,0,0,0.00120473,0.0001817,0.0314866,0.684622,0.193604,0.713633,0,0
54,0.629344,-2.51908,-3.79038,0.875177,1168.08,150.247,28.1877,1156.67,688.817,0,0,0.00120473,0.0001817,0.0329355,0.683905,0.19629,0.713891,0,0
55,0.630425,-2.5191,-3.77648,0.889125,1168.66,146.503,34.545,1157.11,689.773,0,0,0.00120473,0.0001817,0.0343844,0.683188,0.198976,0.714149,0,0
56,0.631505,-2.51911,-3.76257,0.903072,1169.23,142.758,40.9023,1157.55,690.729,0,0,0.00120473,0.0001817,0.0358333,0.682471,0.201662,0.714407,0,0
57,0.632586,-2.51912,-3.74867,0.917019,1169.81,139.014,47.2596,1157.99,691.685,0,0,0.00120473,0.0001817,0.0372822,0.681753,0.204349,0.714665,0,0
58,0.633666,-2.51913,-3.73476,0.930966,1170.38,135.269,53.617,1158.44,692.641,0,0,0.00120473,0.0001817,0.0387311,0.681036,0.207035,0.714923,0,0
59,0.634746,-2.51914,-3.72085,0.944913,1170.96,131.524,59.9743,1158.88,693.596,0,0,0.00120473,0.0001817,0.04018,0.680319,0.209721,0.715182,0,0
60,0.635827,-2.51915,-3.70695,0.958861,1171.53,127.78,66.3316,1159.32,694.552,0,0,0.00120473,0.0001817,0.0416289,0.679602,0.212407,0.71544,0,0
61,0.636907,-2.51917,-3.69304,0.972808,1172.11,124.035,72.689,1159.76,695.508,0,0,0.00120473,0.0001817,0.0430778,0.678885,0.215094,0.715698,0,0
62,0.628927,-2.51918,-3.67678,0.990924,1146.07,116.084,81.1604,1133.71,699.489,0,0,0.00120473,0.0001817,0.045993,0.68319,0.213587,0.719085,0,0
63,0.620947,-2.51919,-3.66052,1.00904,1120.03,108.132,89.632,1107.65,703.471,0,0,0.00120473,0.0001817,0.0489082,0.687496,0.212081,0.722472,0,0
64,0.612967,-2.5192,-3.64425,1.02715,1093.99,100.181,98.1034,1081.6,707.452,0,0,0.00120473,0.0001817,0.0518235,0.691802,0.210575,0.725859,0,0
65,0.604987,-2.5192,-3.62799,1.04527,1077.68,92.4201,106.826,1065.28,711.176,0,0,0.00120473,0.0001817,0.0548925,0.701724,0.210532,0.735522,0,0
66,0.597006,-2.51921,-3.61173,1.06339,1068.13,84.7925,115.724,1055.74,714.721,0,0,0.00120473,0.0001817,0.0580687,0.715561,0.21151,0.749559,0,0
67,0.589026,-2.51922,-3.59546,1.0815,1058.42,77.1995,124.474,1046.03,718.182,0,0,0.00120473,0.0001817,0.0611715,0.727373,0.212675,0.76164,0,0
68,0.581046,-2.51923,-3.5792,1.09962,1046.8,69.9951,131.557,1034.34,720.69,0,0,0.00120473,0.0001817,0.0634496,0.716432,0.215934,0.751743,0,0
69,0.573066,-2.51924,-3.56294,1.11773,1034.86,64.5957,135.76,1022.6,715.141,0,0,0.00120473,0.0001817,0.0665895,0.724272,0.214755,0.759168,0,0
70,0.565086,-2.51925,-3.54667,1.13585,1020.6,60.6098,136.737,1008.8,702.714,0,0,0.00120473,0.0001817,0.0694174,0.739808,0.208552,0.773046,0,0
71,0.557106,-2.51926,-3.53041,1.15396,1005.05,54.5236,135.984,993.482,687.211,0,0,0.00120473,0.0001817,0.0731799,0.747605,0.206404,0.78029,0,0
72,0.549126,-2.51927,-3.51415,1.17208,994.129,46.2997,138.118,982.076,671.103,0,0,0.00120473,0.0001817,0.0765823,0.749888,0.204793,0.782447,0,0
73,0.541146,-2.51928,-3.49788,1.1902,983.202,38.0757,140.253,970.671,654.994,0,0,0.00120473,0.0001817,0.0799847,0.75217,0.203182,0.784604,0,0
74,0.533165,-2.51929,-3.48162,1.20831,972.275,29.8517,142.387,959.265,638.886,0,0,0.00120473,0.0001817,0.083387,0.754453,0.201571,0.786762,0,0
75,0.525185,-2.5193,-3.46536,1.22643,961.349,21.6278,144.521,947.86,622.778,0,0,0.00120473,0.0001817,0.0867894,0.756735,0.199961,0.788919,0,0
76,0.517205,-2.51931,-3.44909,1.24454,950.422,13.4037,146.655,936.454,606.669,0,0,0.00120473,0.0001817,0.0901918,0.759018,0.19835,0.791076,0,0
77,0.509225,-2.51932,-3.43283,1.26266,939.496,5.17979,148.789,925.049,590.56,0,0,0.00120473,0.0001817,0.0935942,0.7613,0.196739,0.793234,0,0
78,0.501245,-2.51933,-3.41657,1.28077,928.57,-3.04415,150.924,913.644,574.452,0,0,0.00120473,0.0001817,0.0969966,0.763583,0.195128,0.795391,0,0
79,0.493265,-2.51934,-3.4003,1.29889,917.643,-11.2683,153.058,902.238,558.343,0,0,0.00120473,0.0001817,0.100399,0.765865,0.193517,0.797548,0,0
80,0.485285,-2.51935,-3.38404,1.31701,906.716,-19.4922,155.192,890.832,542.235,0,0,0.00120473,0.0001817,0.103801,0.768148,0.191906,0.799706,0,0
81,0.477305,-2.51936,-3.36778,1.33512,895.79,-27.7162,157.326,879.427,526.126,0,0,0.00120473,0.0001817,0.107204,0.77043,0.190295,0.801863,0,0
82,0.463974,-2.51936,-3.36044,1.35034,876.631,-32.8308,153.637,860.765,516.43,0,0,0.00120473,0.0001817,0.108732,0.772303,0.184709,0.80253,0,0
83,0.450643,-2.51936,-3.3531,1.36556,857.583,-37.357,149.095,842.282,508.466,0,0,0.00120473,0.0001817,0.109562,0.769533,0.178193,0.798386,0,0
84,0.437312,-2.51936,-3.34576,1.38078,842.627,-39.2601,144.969,827.837,496.308,0,0,0.00120473,0.0001817,0.107967,0.769858,0.169005,0.797195,0,0
85,0.423981,-2.51936,-3.33842,1.39599,833.307,-38.6812,141.094,818.953,486.803,0,0,0.00120473,0.0001817,0.103905,0.769272,0.159226,0.795037,0,0
86,0.41065,-2.51936,-3.33108,1.41121,824.013,-38.1376,137.208,810.093,477.653,0,0,0.00120473,0.0001817,0.0998689,0.768472,0.149571,0.792671,0,0
87,0.397319,-2.51936,-3.32374,1.42643,814.719,-37.5941,133.322,801.233,468.503,0,0,0.00120473,0.0001817,0.0958327,0.767673,0.139915,0.790305,0,0
88,0.383988,-2.51936,-3.3164,1.44165,805.425,-37.0506,129.436,792.373,459.353,0,0,0.00120473,0.0001817,0.0917965,0.766873,0.130259,0.787939,0,0
89,0.370657,-2.51936,-3.30906,1.45687,795.123,-35.9355,126.067,782.438,452.684,0,0,0.00120473,0.0001817,0.0876211,0.767201,0.120703,0.786585,0,0
90,0.357327,-2.51936,-3.30172,1.47208,782.456,-33.4794,123.912,769.98,451.837,0,0,0.00120473,0.0001817,0.0831193,0.770177,0.11138,0.787603,0,0
91,0.343996,-2.51936,-3.29438,1.4873,769.788,-31.0234,121.758,757.522,450.99,0,0,0.00120473,0.0001817,0.0786175,0.773152,0.102057,0.788622,0,0
92,0.330665,-2.51936,-3.28704,1.50252,757.121,-28.5674,119.604,745.064,450.143,0,0,0.00120473,0.0001817,0.0741157,0.776128,0.0927338,0.78964,0,0
93,0.317334,-2.51936,-3.2797,1.51774,744.454,-26.1114,117.449,732.607,449.295,0,0,0.00120473,0.0001817,0.0696139,0.779103,0.0834108,0.790659,0,0
94,0.304003,-2.51936,-3.27236,1.53296,731.786,-23.6553,115.295,720.149,448.448,0,0,0.00120473,0.0001817,0.0651122,0.782079,0.0740878,0.791677,0,0
95,0.290672,-2.51936,-3.26502,1.54817,719.119,-21.1993,113.141,707.691,447.601,0,0,0.00120473,0.0001817,0.0606104,0.785055,0.0647647,0.792696,0,0
96,0.277341,-2.51936,-3.25768,1.56339,706.452,-18.7433,110.986,695.234,446.754,0,0,0.00120473,0.0001817,0.0561086,0.78803,0.0554417,0.793714,0,0
97,0.26401,-2.51936,-3.25034,1.57861,693.785,-16.2872,108.832,682.776,445.907,0,0,0.00120473,0.0001817,0.0516069,0.791006,0.0461187,0.794732,0,0
98,0.250679,-2.51936,-3.243,1.59383,691.346,-16.4407,111.975,679.732,444.561,0,0,0.00120473,0.0001817,0.0478521,0.789369,0.0429736,0.792533,0,0
99,0.237348,-2.51936,-3.23566,1.60905,691.179,-17.1734,116.295,678.779,443.104,0,0,0.00120473,0.0001817,0.0442633,0.786709,0.0412001,0.789619,0,0
100,0.224018,-2.51936,-3.22832,1.62426,691.012,-17.9062,120.615,677.825,441.648,0,0,0.00120473,0.0001817,0.0406744,0.784049,0.0394266,0.786706,0,0
101,0.210687,-2.51936,-3.22098,1.63948,690.845,-18.6389,124.935,676.872,440.191,0,0,0.00120473,0.0001817,0.0370856,0.781388,0.0376531,0.783792,0,0
102,0.1975,-2.51935,-3.22209,1.65272,690.377,-18.9538,124.973,676.35,438.716,0,0,0.00120473,0.0001817,0.033776,0.775744,0.0356172,0.77793,0,0
103,0.184312,-2.51935,-3.22321,1.66595,689.91,-19.2687,125.01,675.829,437.242,0,0,0.00120473,0.0001817,0.0304665,0.7701,0.0335813,0.772069,0,0
104,0.171125,-2.51934,-3.22433,1.67919,690.629,-18.9029,125.582,676.32,437.625,0,0,0.00120473,0.0001817,0.0271114,0.765003,0.0316088,0.76679,0,0
105,0.157938,-2.51933,-3.22545,1.69242,694.663,-16.6374,127.641,679.637,443.193,0,0,0.00120473,0.0001817,0.0236289,0.761432,0.0298134,0.76314,0,0
106,0.144751,-2.51933,-3.22656,1.70565,698.697,-14.372,129.7,682.954,448.762,0,0,0.00120473,0.0001817,0.0201465,0.75786,0.028018,0.75949,0,0
107,0.131564,-2.51932,-3.22768,1.71889,702.731,-12.1066,131.759,686.272,454.33,0,0,0.00120473,0.0001817,0.0166641,0.75429,0.0262227,0.75584,0,0
108,0.118377,-2.51931,-3.2288,1.73212,706.765,-9.84117,133.819,689.589,459.898,0,0,0.00120473,0.0001817,0.0131816,0.750719,0.0244273,0.752189,0,0
109,0.10519,-2.5193,-3.22992,1.74536,711.126,-7.24524,135.282,693.331,464.829,0,0,0.00120473,0.0001817,0.0094236,0.745407,0.0225134,0.746804,0,0
110,0.0920027,-2.5193,-3.23103,1.75859,716.669,-3.45569,134.593,698.61,467.456,0,0,0.00120473,0.0001817,0.00467039,0.733812,0.0201718,0.73515,0,0
111,0.0788156,-2.51929,-3.23215,1.77183,722.21,0.333775,133.904,703.887,470.084,0,0,0.00120473,0.0001817,-8.28E-05,0.722218,0.0178302,0.723497,0,0
112,0.0656285,-2.51928,-3.23327,1.78506,727.752,4.12331,133.215,709.164,472.711,0,0,0.00120473,0.0001817,-0.00483599,0.710623,0.0154885,0.711844,0,0
113,0.0524414,-2.51928,-3.23439,1.79829,733.295,7.91285,132.526,714.442,475.339,0,0,0.00120473,0.0001817,-0.00958919,0.699028,0.0131469,0.700191,0,0
114,0.0392543,-2.51927,-3.2355,1.81153,738.837,11.7023,131.837,719.719,477.966,0,0,0.00120473,0.0001817,-0.0143424,0.687434,0.0108052,0.688537,0,0
115,0.0260672,-2.51926,-3.23662,1.82476,733.995,11.753,130.878,714.158,487.018,0,0,0.00120473,0.0001817,-0.0172868,0.675365,0.00585643,0.676235,0,0
116,0.0128801,-2.51926,-3.23774,1.838,728.716,10.9084,130.622,708.193,496.347,0,0,0.00120473,0.0001817,-0.0200241,0.669077,0.000646144,0.669737,0,0
117,-0.00030697,-2.51925,-3.23886,1.85123,731.568,10.1721,133.294,710.955,500.126,0,0,0.00120473,0.0001817,-0.0233525,0.685715,-0.00297941,0.686445,0,0
118,-0.0134941,-2.51924,-3.23998,1.86447,734.254,11.9133,133.423,713.743,499.63,0,0,0.00120473,0.0001817,-0.0245234,0.685509,-0.00514304,0.686413,0,0
119,-0.0266812,-2.51924,-3.24109,1.8777,736.94,13.6545,133.552,716.531,499.135,0,0,0.00120473,0.0001817,-0.0256943,0.685303,-0.00730667,0.68638,0,0
120,-0.0398683,-2.51923,-3.24221,1.89094,739.627,15.3956,133.681,719.32,498.639,0,0,0.00120473,0.0001817,-0.0268653,0.685097,-0.00947026,0.686347,0,0
121,-0.0530554,-2.51922,-3.24333,1.90417,742.313,17.1368,133.809,722.109,498.144,0,0,0.00120473,0.0001817,-0.0280362,0.684891,-0.0116339,0.686314,0,0
122,-0.0659973,-2.51921,-3.25078,1.9191,743.569,17.9902,131.274,724.126,494.799,0,0,0.00120473,0.0001817,-0.0282834,0.684564,-0.0131542,0.686145,0,0
123,-0.0789393,-2.5192,-3.25823,1.93404,744.826,18.8435,128.738,726.143,491.454,0,0,0.00120473,0.0001817,-0.0285306,0.684238,-0.0146744,0.685976,0,0
124,-0.0918813,-2.51919,-3.26568,1.94897,746.082,19.6969,126.203,728.16,488.11,0,0,0.00120473,0.0001817,-0.0287778,0.683911,-0.0161947,0.685806,0,0
125,-0.104823,-2.51918,-3.27312,1.9639,747.338,20.5503,123.667,730.177,484.765,0,0,0.00120473,0.0001817,-0.0290249,0.683585,-0.017715,0.685637,0,0
126,-0.117765,-2.51917,-3.28057,1.97883,748.595,21.4036,121.132,732.195,481.42,0,0,0.00120473,0.0001817,-0.0292722,0.683259,-0.0192352,0.685468,0,0
127,-0.130707,-2.51915,-3.28802,1.99377,749.851,22.257,118.596,734.212,478.075,0,0,0.00120473,0.0001817,-0.0295193,0.682932,-0.0207555,0.685299,0,0
128,-0.143649,-2.51914,-3.29547,2.0087,750.201,22.2574,115.437,735.258,476.149,0,0,0.00120473,0.0001817,-0.0306821,0.683256,-0.0220733,0.685687,0,0
129,-0.156591,-2.51913,-3.30292,2.02363,750.132,21.8626,111.99,735.853,474.88,0,0,0.00120473,0.0001817,-0.0322692,0.68388,-0.0232973,0.686335,0,0
130,-0.169533,-2.51912,-3.31037,2.03856,750.063,21.4677,108.542,736.45,473.611,0,0,0.00120473,0.0001817,-0.0338563,0.684504,-0.0245212,0.686982,0,0
131,-0.182475,-2.51911,-3.31782,2.0535,749.993,21.0729,105.094,737.046,472.343,0,0,0.00120473,0.0001817,-0.0354434,0.685129,-0.0257451,0.687629,0,0
132,-0.195417,-2.51909,-3.32527,2.06843,749.923,20.6781,101.647,737.642,471.074,0,0,0.00120473,0.0001817,-0.0370306,0.685753,-0.0269691,0.688277,0,0
133,-0.208359,-2.51908,-3.33272,2.08336,749.854,20.2833,98.1989,738.238,469.805,0,0,0.00120473,0.0001817,-0.0386177,0.686377,-0.028193,0.688924,0,0
134,-0.221301,-2.51907,-3.34017,2.09829,749.784,19.8885,94.7513,738.834,468.537,0,0,0.00120473,0.0001817,-0.0402048,0.687002,-0.029417,0.689571,0,0
135,-0.234243,-2.51906,-3.34761,2.11323,749.715,19.4936,91.3036,739.43,467.268,0,0,0.00120473,0.0001817,-0.0417919,0.687626,-0.0306409,0.690219,0,0
136,-0.247185,-2.51905,-3.35506,2.12816,749.645,19.0988,87.8559,740.026,465.999,0,0,0.00120473,0.0001817,-0.043379,0.68825,-0.0318648,0.690866,0,0
137,-0.260127,-2.51904,-3.36251,2.14309,749.576,18.704,84.4083,740.623,464.731,0,0,0.00120473,0.0001817,-0.0449661,0.688875,-0.0330888,0.691513,0,0
138,-0.273069,-2.51902,-3.36996,2.15802,749.506,18.3092,80.9606,741.219,463.462,0,0,0.00120473,0.0001817,-0.0465532,0.689499,-0.0343127,0.69216,0,0
139,-0.286011,-2.51901,-3.37741,2.17296,752.172,17.396,79.1454,743.957,465.366,0,0,0.00120473,0.0001817,-0.046998,0.684026,-0.0370754,0.686876,0,0
140,-0.298953,-2.519,-3.38486,2.18789,758.355,15.8456,79.3922,749.464,471.288,0,0,0.00120473,0.0001817,-0.0460091,0.670849,-0.0418255,0.674107,0,0
141,-0.311895,-2.51899,-3.39231,2.20282,766.412,18.0184,75.6591,758.239,470.808,0,0,0.00120473,0.0001817,-0.049113,0.672103,-0.049045,0.676754,0,0
142,-0.32243,-2.51897,-3.40611,2.22018,769.853,18.1127,68.7388,763.109,467.383,0,0,0.00120473,0.0001817,-0.0512406,0.674261,-0.0535099,0.679872,0,0
143,-0.332964,-2.51896,-3.41991,2.23754,773.296,18.207,61.8184,767.98,463.958,0,0,0.00120473,0.0001817,-0.0533681,0.676419,-0.0579747,0.68299,0,0
144,-0.343499,-2.51894,-3.43371,2.2549,776.738,18.3014,54.8981,772.851,460.534,0,0,0.00120473,0.0001817,-0.0554958,0.678577,-0.0624396,0.686109,0,0
145,-0.354034,-2.51893,-3.44751,2.27227,783.467,13.6122,50.4178,780.102,457.581,0,0,0.00120473,0.0001817,-0.0572346,0.68734,-0.0684488,0.69592,0,0
146,-0.364569,-2.51891,-3.4613,2.28963,789.829,10.1252,46.8346,786.416,458.206,0,0,0.00120473,0.0001817,-0.0589324,0.694816,-0.0758847,0.704553,0,0
147,-0.375103,-2.51889,-3.4751,2.30699,793.902,11.0596,43.4703,789.973,464.453,0,0,0.00120473,0.0001817,-0.0607618,0.6968,-0.0848668,0.707824,0,0
148,-0.385638,-2.51888,-3.4889,2.32435,797.976,11.9939,40.1061,793.532,470.699,0,0,0.00120473,0.0001817,-0.0625912,0.698783,-0.0938489,0.711096,0,0
149,-0.396173,-2.51886,-3.5027,2.34171,802.049,12.9283,36.7418,797.089,476.945,0,0,0.00120473,0.0001817,-0.0644207,0.700766,-0.102831,0.714367,0,0
150,-0.406707,-2.51885,-3.5165,2.35907,806.121,13.8627,33.3776,800.646,483.191,0,0,0.00120473,0.0001817,-0.0662501,0.702749,-0.111813,0.717638,0,0
