Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
11,-0.105725,-2.50582,-4.04096,0.0809019,1442.6,-27.9974,-1.33652,1360.23,155.39,0,0,0.00120473,0.0001817,-0.0266635,1.2147,-0.00825995,1.21705,0,0
12,-0.0980527,-2.506,-4.04352,0.0889921,1438.01,-27.7714,-2.22035,1358.97,155.522,0,0,0.00120473,0.0001817,-0.0235965,1.20682,-0.00880339,1.20915,0,0
13,-0.0903805,-2.50618,-4.04608,0.0970823,1432.43,-28.4707,-2.14797,1357.17,154.779,0,0,0.00120473,0.0001817,-0.0183487,1.195,-0.0181985,1.19742,0,0
14,-0.0827082,-2.50635,-4.04864,0.105172,1424.88,-31.0016,-0.181923,1354.29,152.301,0,0,0.00120473,0.0001817,-0.0087817,1.17535,-0.0451215,1.17811,0,0
15,-0.075036,-2.50653,-4.0512,0.113263,1406.23,-34.591,4.02387,1343.32,149.329,0,0,0.00120473,0.0001817,-0.00341296,1.16564,-0.0607411,1.16852,0,0
16,-0.0673637,-2.50671,-4.05376,0.121353,1375.83,-39.3029,10.606,1323.76,145.832,0,0,0.00120473,0.0001817,-0.00249712,1.16645,-0.0643702,1.16924,0,0
17,-0.0596914,-2.50689,-4.05632,0.129443,1345.42,-44.0149,17.1882,1304.21,142.334,0,0,0.00120473,0.0001817,-0.00158129,1.16726,-0.0679993,1.16995,0,0
18,-0.0520192,-2.50707,-4.05888,0.137533,1319.72,-47.9302,23.5236,1284.65,139.067,0,0,0.00120473,0.0001817,-0.000637048,1.1645,-0.0686498,1.16698,0,0
19,-0.0443469,-2.50725,-4.06144,0.145623,1305.82,-49.8428,29.241,1265.04,136.376,0,0,0.00120473,0.0001817,0.000378815,1.15277,-0.0618122,1.15473,0,0
20,-0.0366746,-2.50742,-4.064,0.153714,1293.24,-51.3389,34.4768,1247.14,133.859,0,0,0.00120473,0.0001817,0.00145169,1.14357,-0.0551587,1.14506,0,0
21,-0.0290024,-2.5076,-4.06656,0.161804,1291.27,-49.4435,35.7952,1243.12,132.747,0,0,0.00120473,0.0001817,0.00298887,1.15496,-0.0500004,1.15632,0,0
22,-0.023508,-2.50766,-4.06466,0.167617,1287.95,-48.7799,34.7953,1241.21,134.684,0,0,0.00120473,0.0001817,0.0037811,1.17575,-0.0489143,1.17711,0,0
23,-0.0180136,-2.50773,-4.06277,0.173429,1284.62,-48.1164,33.7954,1239.3,136.62,0,0,0.00120473,0.0001817,0.00457333,1.19654,-0.0478282,1.19789,0,0
24,-0.0125192,-2.50779,-4.06087,0.179242,1281.31,-47.4529,32.7951,1237.39,138.557,0,0,0.00120473,0.0001817,0.00536552,1.21733,-0.046742,1.21867,0,0
25,-0.00702476,-2.50785,-4.05897,0.185055,1277.98,-46.7893,31.7952,1235.48,140.494,0,0,0.00120473,0.0001817,0.00615775,1.23813,-0.0456559,1.23946,0,0
26,-0.00153035,-2.50791,-4.05708,0.190868,1274.66,-46.1258,30.7953,1233.57,142.43,0,0,0.00120473,0.0001817,0.00694998,1.25892,-0.0445699,1.26024,0,0
27,0.00396406,-2.50798,-4.05518,0.196681,1271.33,-45.4622,29.7955,1231.66,144.367,0,0,0.00120473,0.0001817,0.0077422,1.27971,-0.0434838,1.28102,0,0
28,0.00945847,-2.50804,-4.05329,0.202493,1268.01,-44.7987,28.7956,1229.75,146.303,0,0,0.00120473,0.0001817,0.00853443,1.3005,-0.0423977,1.30181,0,0
29,0.0149529,-2.5081,-4.05139,0.208306,1264.69,-44.1351,27.7953,1227.84,148.24,0,0,0.00120473,0.0001817,0.00932662,1.3213,-0.0413115,1.32259,0,0
30,0.0204473,-2.50816,-4.04949,0.214119,1261.37,-43.4716,26.7954,1225.93,150.177,0,0,0.00120473,0.0001817,0.0101189,1.34209,-0.0402254,1.34338,0,0
31,0.0259417,-2.50823,-4.0476,0.219932,1258.04,-42.8081,25.7953,1224.02,152.114,0,0,0.00120473,0.0001817,0.010911,1.36288,-0.0391397,1.36416,0,0
32,0.0314361,-2.50829,-4.0457,0.225745,1254.72,-42.1446,24.7954,1222.11,154.05,0,0,0.00120473,0.0001817,0.0117033,1.38368,-0.0380536,1.38494,0,0
33,0.0369305,-2.50835,-4.0438,0.231558,1251.4,-41.481,23.7955,1220.2,155.987,0,0,0.00120473,0.0001817,0.0124955,1.40447,-0.0369675,1.40573,0,0
34,0.0424249,-2.50841,-4.04191,0.23737,1248.08,-40.8175,22.7952,1218.29,157.924,0,0,0.00120473,0.0001817,0.0132877,1.42526,-0.0358813,1.42651,0,0
35,0.0479193,-2.50848,-4.04001,0.243183,1244.75,-40.1539,21.7953,1216.38,159.86,0,0,0.00120473,0.0001817,0.0140799,1.44605,-0.0347953,1.4473,0,0
36,0.0534137,-2.50854,-4.03811,0.248996,1241.43,-39.4904,20.7954,1214.47,161.797,0,0,0.00120473,0.0001817,0.0148721,1.46685,-0.0337092,1.46808,0,0
37,0.0589081,-2.5086,-4.03622,0.254809,1238.11,-38.8268,19.7955,1212.56,163.734,0,0,0.00120473,0.0001817,0.0156644,1.48764,-0.0326231,1.48886,0,0
38,0.0644025,-2.50866,-4.03432,0.260622,1234.78,-38.1633,18.7956,1210.65,165.67,0,0,0.00120473,0.0001817,0.0164566,1.50843,-0.031537,1.50965,0,0
39,0.0698969,-2.50873,-4.03242,0.266434,1231.46,-37.4997,17.7953,1208.74,167.607,0,0,0.00120473,0.0001817,0.0172488,1.52922,-0.0304508,1.53043,0,0
40,0.0753914,-2.50879,-4.03053,0.272247,1225.13,-39.638,17.8069,1202.16,168.487,0,0,0.00120473,0.0001817,0.0167075,1.53073,-0.0313942,1.53201,0,0
41,0.0808858,-2.50885,-4.02863,0.27806,1223.44,-38.9102,18.8985,1199.52,169.425,0,0,0.00120473,0.0001817,0.0169652,1.51536,-0.0273237,1.51682,0,0
42,0.0850869,-2.50889,-4.0266,0.282727,1222.39,-38.0562,19.4256,1198.28,170.652,0,0,0.00120473,0.0001817,0.0172692,1.50591,-0.0241265,1.50753,0,0
43,0.089288,-2.50893,-4.02457,0.287393,1221.34,-37.2026,19.9532,1197.03,171.879,0,0,0.00120473,0.0001817,0.0175731,1.49646,-0.0209297,1.49824,0,0
44,0.0934892,-2.50896,-4.02254,0.29206,1220.29,-36.3487,20.4807,1195.78,173.107,0,0,0.00120473,0.0001817,0.0178771,1.48701,-0.0177328,1.48895,0,0
45,0.0976903,-2.509,-4.02051,0.296726,1219.24,-35.495,21.0079,1194.54,174.334,0,0,0.00120473,0.0001817,0.0181811,1.47757,-0.0145357,1.47965,0,0
46,0.101891,-2.50904,-4.01848,0.301393,1218.2,-34.641,21.535,1193.3,175.562,0,0,0.00120473,0.0001817,0.0184851,1.46812,-0.0113386,1.47036,0,0
47,0.106093,-2.50908,-4.01645,0.306059,1217.15,-33.7871,22.0624,1192.05,176.789,0,0,0.00120473,0.0001817,0.0187891,1.45867,-0.00814171,1.46107,0,0
48,0.110294,-2.50911,-4.01441,0.310726,1216.09,-32.9334,22.5901,1190.8,178.016,0,0,0.00120473,0.0001817,0.019093,1.44922,-0.00494488,1.45178,0,0
49,0.114495,-2.50915,-4.01238,0.315392,1215.05,-32.0795,23.1171,1189.56,179.243,0,0,0.00120473,0.0001817,0.0193971,1.43977,-0.00174774,1.44249,0,0
50,0.118696,-2.50919,-4.01035,0.320059,1214,-31.2257,23.6444,1188.32,180.471,0,0,0.00120473,0.0001817,0.019701,1.43032,0.00144932,1.4332,0,0
51,0.122897,-2.50923,-4.00832,0.324725,1212.95,-30.3718,24.1719,1187.07,181.698,0,0,0.00120473,0.0001817,0.020005,1.42087,0.00464622,1.4239,0,0
52,0.127098,-2.50926,-4.00629,0.329392,1211.9,-29.5179,24.6993,1185.82,182.925,0,0,0.00120473,0.0001817,0.020309,1.41142,0.00784312,1.41461,0,0
53,0.131299,-2.5093,-4.00426,0.334058,1210.85,-28.6642,25.2266,1184.58,184.152,0,0,0.00120473,0.0001817,0.020613,1.40197,0.0110402,1.40532,0,0
54,0.1355,-2.50934,-4.00223,0.338725,1209.8,-27.8102,25.7536,1183.34,185.38,0,0,0.00120473,0.0001817,0.020917,1.39253,0.0142373,1.39603,0,0
55,0.139702,-2.50938,-4.0002,0.343391,1208.75,-26.9566,26.2813,1182.09,186.607,0,0,0.00120473,0.0001817,0.0212209,1.38308,0.0174341,1.38674,0,0
56,0.143903,-2.50941,-3.99817,0.348058,1207.7,-26.1027,26.8087,1180.84,187.834,0,0,0.00120473,0.0001817,0.0215249,1.37363,0.020631,1.37744,0,0
57,0.148104,-2.50945,-3.99613,0.352724,1206.25,-25.2812,27.1361,1179.17,189.032,0,0,0.00120473,0.0001817,0.0218949,1.3663,0.0231436,1.37026,0,0
58,0.152305,-2.50949,-3.9941,0.357391,1202.53,-24.6453,26.3182,1175.04,190.06,0,0,0.00120473,0.0001817,0.0226431,1.37112,0.0217328,1.37517,0,0
59,0.156506,-2.50953,-3.99207,0.362057,1198.8,-24.0095,25.5005,1170.91,191.088,0,0,0.00120473,0.0001817,0.0233913,1.37595,0.0203213,1.38009,0,0
60,0.160707,-2.50956,-3.99004,0.366724,1194.31,-23.6516,24.9806,1165.37,192.026,0,0,0.00120473,0.0001817,0.023787,1.37855,0.0188569,1.38274,0,0
61,0.164908,-2.5096,-3.98801,0.37139,1188.54,-23.7627,24.9629,1157.46,192.813,0,0,0.00120473,0.0001817,0.0235876,1.37741,0.0173034,1.38157,0,0
62,0.167631,-2.50961,-3.98555,0.375057,1183.93,-23.6539,24.5978,1151.6,194.179,0,0,0.00120473,0.0001817,0.0232407,1.37981,0.0158593,1.38392,0,0
63,0.170353,-2.50961,-3.9831,0.378724,1179.32,-23.5453,24.233,1145.73,195.545,0,0,0.00120473,0.0001817,0.0228939,1.38222,0.0144147,1.38628,0,0
64,0.173075,-2.50961,-3.98064,0.38239,1174.72,-23.4365,23.8679,1139.87,196.91,0,0,0.00120473,0.0001817,0.022547,1.38462,0.0129706,1.38863,0,0
65,0.175798,-2.50962,-3.97819,0.386057,1170.11,-23.3278,23.5031,1134.01,198.276,0,0,0.00120473,0.0001817,0.0222001,1.38703,0.0115259,1.39099,0,0
66,0.17852,-2.50962,-3.97573,0.389723,1165.5,-23.219,23.138,1128.15,199.642,0,0,0.00120473,0.0001817,0.0218532,1.38943,0.0100819,1.39334,0,0
67,0.181243,-2.50963,-3.97327,0.39339,1160.9,-23.1102,22.7729,1122.29,201.008,0,0,0.00120473,0.0001817,0.0215063,1.39184,0.00863772,1.3957,0,0
68,0.183965,-2.50963,-3.97082,0.397056,1156.29,-23.0016,22.4081,1116.43,202.373,0,0,0.00120473,0.0001817,0.0211594,1.39425,0.00719309,1.39805,0,0
69,0.186687,-2.50964,-3.96836,0.400723,1151.68,-22.8928,22.043,1110.57,203.739,0,0,0.00120473,0.0001817,0.0208126,1.39665,0.00574902,1.40041,0,0
70,0.18941,-2.50964,-3.9659,0.40439,1147.07,-22.7841,21.6782,1104.7,205.105,0,0,0.00120473,0.0001817,0.0204657,1.39906,0.0043044,1.40276,0,0
71,0.192132,-2.50965,-3.96345,0.408056,1142.46,-22.6753,21.3131,1098.85,206.471,0,0,0.00120473,0.0001817,0.0201188,1.40146,0.00286033,1.40511,0,0
72,0.194854,-2.50965,-3.96099,0.411723,1137.86,-22.5665,20.948,1092.99,207.836,0,0,0.00120473,0.0001817,0.0197719,1.40387,0.00141617,1.40747,0,0
73,0.197577,-2.50965,-3.95854,0.415389,1133.25,-22.4579,20.5832,1087.12,209.202,0,0,0.00120473,0.0001817,0.019425,1.40627,-2.85E-05,1.40982,0,0
74,0.200299,-2.50966,-3.95608,0.419056,1130.42,-22.0413,21.0982,1083.69,210.025,0,0,0.00120473,0.0001817,0.0192593,1.41101,0.00159981,1.41474,0,0
75,0.203021,-2.50966,-3.95362,0.422722,1128.16,-21.5251,21.8986,1081.05,210.673,0,0,0.00120473,0.0001817,0.0191522,1.4165,0.0042228,1.4205,0,0
76,0.205744,-2.50967,-3.95117,0.426389,1125.91,-21.0088,22.6987,1078.41,211.321,0,0,0.00120473,0.0001817,0.019045,1.42199,0.00684632,1.42625,0,0
77,0.208466,-2.50967,-3.94871,0.430056,1123.65,-20.4925,23.4989,1075.77,211.969,0,0,0.00120473,0.0001817,0.0189379,1.42747,0.00946983,1.43201,0,0
78,0.211189,-2.50968,-3.94626,0.433722,1121.39,-19.9763,24.2993,1073.13,212.616,0,0,0.00120473,0.0001817,0.0188308,1.43296,0.0120928,1.43776,0,0
79,0.213911,-2.50968,-3.9438,0.437389,1119.14,-19.46,25.0994,1070.49,213.264,0,0,0.00120473,0.0001817,0.0187237,1.43845,0.0147163,1.44351,0,0
80,0.216633,-2.50969,-3.94134,0.441055,1116.88,-18.9438,25.8998,1067.84,213.912,0,0,0.00120473,0.0001817,0.0186166,1.44394,0.0173393,1.44927,0,0
81,0.219356,-2.50969,-3.93889,0.444722,1114.63,-18.4275,26.6999,1065.2,214.559,0,0,0.00120473,0.0001817,0.0185095,1.44943,0.0199628,1.45502,0,0
82,0.221785,-2.50965,-3.93429,0.449919,1111.51,-17.461,27.0253,1062.29,216.721,0,0,0.00120473,0.0001817,0.0180285,1.46191,0.0226267,1.46775,0,0
83,0.224213,-2.50961,-3.9297,0.455116,1108.39,-16.4945,27.3506,1059.38,218.883,0,0,0.00120473,0.0001817,0.0175476,1.47438,0.0252907,1.48048,0,0
84,0.226642,-2.50958,-3.9251,0.460312,1105.26,-15.5281,27.676,1056.46,221.045,0,0,0.00120473,0.0001817,0.0170666,1.48686,0.0279546,1.49322,0,0
85,0.229071,-2.50954,-3.92051,0.465509,1104.7,-13.8594,26.9523,1055.88,223.316,0,0,0.00120473,0.0001817,0.0166575,1.49682,0.0290576,1.50347,0,0
86,0.2315,-2.5095,-3.91592,0.470706,1109.1,-10.8316,24.198,1059.8,225.799,0,0,0.00120473,0.0001817,0.0163876,1.50189,0.0271392,1.50892,0,0
87,0.233929,-2.50946,-3.91132,0.475903,1113.49,-7.80383,21.4436,1063.72,228.281,0,0,0.00120473,0.0001817,0.0161177,1.50697,0.0252207,1.51437,0,0
88,0.236358,-2.50942,-3.90673,0.4811,1117.88,-4.77593,18.6891,1067.64,230.763,0,0,0.00120473,0.0001817,0.0158478,1.51204,0.0233021,1.51982,0,0
89,0.238787,-2.50938,-3.90213,0.486297,1122.28,-1.74816,15.9348,1071.56,233.245,0,0,0.00120473,0.0001817,0.0155779,1.51711,0.0213836,1.52527,0,0
90,0.241216,-2.50935,-3.89754,0.491494,1126.67,1.27974,13.1803,1075.48,235.727,0,0,0.00120473,0.0001817,0.0153079,1.52219,0.019465,1.53073,0,0
91,0.243645,-2.50931,-3.89295,0.496691,1131.06,4.3075,10.4262,1079.39,238.209,0,0,0.00120473,0.0001817,0.015038,1.52726,0.0175458,1.53618,0,0
92,0.246073,-2.50927,-3.88835,0.501887,1135.45,7.33527,7.67187,1083.31,240.692,0,0,0.00120473,0.0001817,0.0147681,1.53234,0.0156273,1.54163,0,0
93,0.248502,-2.50923,-3.88376,0.507084,1139.84,10.3632,4.91739,1087.23,243.174,0,0,0.00120473,0.0001817,0.0144982,1.53741,0.0137087,1.54708,0,0
94,0.250931,-2.50919,-3.87916,0.512281,1143.7,12.9938,2.83046,1090.62,245.761,0,0,0.00120473,0.0001817,0.014242,1.53907,0.0128639,1.54919,0,0
95,0.25336,-2.50916,-3.87457,0.517478,1145.01,13.7539,3.88734,1091.52,248.841,0,0,0.00120473,0.0001817,0.0140503,1.52467,0.017077,1.53557,0,0
96,0.255789,-2.50912,-3.86997,0.522675,1146.33,14.5139,4.94418,1092.42,251.922,0,0,0.00120473,0.0001817,0.0138586,1.51027,0.0212899,1.52195,0,0
97,0.258218,-2.50908,-3.86538,0.527872,1147.64,15.274,6.00103,1093.32,255.002,0,0,0.00120473,0.0001817,0.0136669,1.49586,0.0255028,1.50832,0,0
98,0.260647,-2.50904,-3.86079,0.533069,1148.96,16.034,7.0579,1094.22,258.083,0,0,0.00120473,0.0001817,0.0134752,1.48146,0.0297159,1.4947,0,0
99,0.263076,-2.509,-3.85619,0.538266,1150.27,16.7941,8.11475,1095.12,261.163,0,0,0.00120473,0.0001817,0.0132835,1.46706,0.0339288,1.48108,0,0
100,0.265505,-2.50897,-3.8516,0.543462,1151.59,17.5541,9.17162,1096.02,264.244,0,0,0.00120473,0.0001817,0.0130918,1.45265,0.0381419,1.46746,0,0
101,0.267934,-2.50893,-3.847,0.548659,1152.9,18.3142,10.2285,1096.92,267.324,0,0,0.00120473,0.0001817,0.0129001,1.43825,0.0423548,1.45384,0,0
102,0.269011,-2.50888,-3.84344,0.55238,1153.71,18.7926,10.848,1097.75,269.956,0,0,0.00120473,0.0001817,0.0126471,1.42888,0.0451601,1.44498,0,0
103,0.270088,-2.50884,-3.83988,0.5561,1154.52,19.2709,11.4677,1098.57,272.589,0,0,0.00120473,0.0001817,0.0123942,1.41951,0.0479646,1.43613,0,0
104,0.271166,-2.5088,-3.83632,0.559821,1155.33,19.7493,12.0873,1099.4,275.221,0,0,0.00120473,0.0001817,0.0121412,1.41015,0.0507699,1.42727,0,0
105,0.272243,-2.50875,-3.83276,0.563541,1156.14,20.2277,12.7068,1100.22,277.854,0,0,0.00120473,0.0001817,0.0118883,1.40078,0.0535752,1.41842,0,0
106,0.273321,-2.50871,-3.8292,0.567262,1156.95,20.7061,13.3264,1101.05,280.487,0,0,0.00120473,0.0001817,0.0116353,1.39141,0.0563805,1.40956,0,0
107,0.274398,-2.50867,-3.82564,0.570982,1157.76,21.1844,13.9461,1101.87,283.119,0,0,0.00120473,0.0001817,0.0113824,1.38204,0.0591849,1.40071,0,0
108,0.275476,-2.50862,-3.82208,0.574702,1158.57,21.6628,14.5656,1102.69,285.751,0,0,0.00120473,0.0001817,0.0111294,1.37268,0.0619902,1.39185,0,0
109,0.276553,-2.50858,-3.81852,0.578423,1160.36,22.2711,13.9908,1105.82,288.688,0,0,0.00120473,0.0001817,0.0101336,1.36643,0.0645144,1.38596,0,0
110,0.27763,-2.50853,-3.81496,0.582143,1163.32,23.0345,11.9902,1111.7,291.986,0,0,0.00120473,0.0001817,0.00825073,1.36391,0.0667021,1.38359,0,0
111,0.278708,-2.50849,-3.8114,0.585864,1166.29,23.7979,9.98948,1117.59,295.285,0,0,0.00120473,0.0001817,0.00636799,1.36139,0.0688907,1.38122,0,0
112,0.279785,-2.50845,-3.80784,0.589584,1169.25,24.5612,7.98881,1123.47,298.584,0,0,0.00120473,0.0001817,0.00448524,1.35887,0.0710792,1.37884,0,0
113,0.280863,-2.5084,-3.80427,0.593305,1172.21,25.3246,5.98813,1129.36,301.883,0,0,0.00120473,0.0001817,0.00260241,1.35636,0.073267,1.37647,0,0
114,0.28194,-2.50836,-3.80071,0.597025,1175.18,26.088,3.98746,1135.24,305.182,0,0,0.00120473,0.0001817,0.000719663,1.35384,0.0754556,1.3741,0,0
115,0.283018,-2.50832,-3.79715,0.600746,1178.14,26.8513,1.98681,1141.13,308.481,0,0,0.00120473,0.0001817,-0.00116307,1.35132,0.0776441,1.37173,0,0
116,0.284095,-2.50827,-3.79359,0.604466,1181.1,27.6147,-0.0137086,1147.01,311.78,0,0,0.00120473,0.0001817,-0.00304577,1.3488,0.0798318,1.36936,0,0
117,0.285172,-2.50823,-3.79003,0.608186,1184.07,28.3781,-2.01438,1152.89,315.079,0,0,0.00120473,0.0001817,-0.00492851,1.34628,0.0820203,1.36699,0,0
118,0.28625,-2.50819,-3.78647,0.611907,1187.03,29.1414,-4.01503,1158.78,318.378,0,0,0.00120473,0.0001817,-0.00681124,1.34376,0.0842089,1.36462,0,0
119,0.287327,-2.50814,-3.78291,0.615627,1190,29.9048,-6.01571,1164.66,321.677,0,0,0.00120473,0.0001817,-0.00869398,1.34124,0.0863974,1.36225,0,0
120,0.288405,-2.5081,-3.77935,0.619348,1192.96,30.6682,-8.01638,1170.54,324.976,0,0,0.00120473,0.0001817,-0.0105768,1.33872,0.0885852,1.35988,0,0
121,0.289482,-2.50806,-3.77579,0.623068,1195.92,31.4316,-10.0171,1176.43,328.274,0,0,0.00120473,0.0001817,-0.0124596,1.3362,0.0907738,1.35751,0,0
122,0.288544,-2.50795,-3.77054,0.628399,1200.31,32.2989,-14.4187,1187.1,334.114,0,0,0.00120473,0.0001817,-0.0160759,1.34029,0.0923594,1.36142,0,0
123,0.287605,-2.50784,-3.7653,0.633729,1204.7,33.1664,-18.8206,1197.76,339.953,0,0,0.00120473,0.0001817,-0.0196925,1.34438,0.0939443,1.36532,0,0
124,0.286666,-2.50773,-3.76005,0.639059,1205.38,33.6597,-19.1114,1199.98,345.092,0,0,0.00120473,0.0001817,-0.0211385,1.34419,0.0966071,1.365,0,0
125,0.285728,-2.50762,-3.7548,0.64439,1204.3,34.0533,-18.0775,1198.98,349.979,0,0,0.00120473,0.0001817,-0.0219599,1.34301,0.0992969,1.36376,0,0
126,0.284789,-2.50751,-3.74956,0.64972,1197.5,34.5933,-16.4873,1192.14,354.531,0,0,0.00120473,0.0001817,-0.0231953,1.34506,0.0991123,1.366,0,0
127,0.283851,-2.50741,-3.74431,0.655051,1190.71,35.1333,-14.8972,1185.3,359.083,0,0,0.00120473,0.0001817,-0.0244307,1.3471,0.0989277,1.36825,0,0
128,0.282912,-2.5073,-3.73907,0.660381,1183.91,35.6732,-13.3072,1178.45,363.636,0,0,0.00120473,0.0001817,-0.0256662,1.34915,0.0987423,1.3705,0,0
129,0.281974,-2.50719,-3.73382,0.665711,1177.12,36.2132,-11.717,1171.6,368.188,0,0,0.00120473,0.0001817,-0.0269016,1.35119,0.0985577,1.37274,0,0
130,0.281035,-2.50708,-3.72857,0.671042,1170.32,36.7532,-10.127,1164.76,372.74,0,0,0.00120473,0.0001817,-0.0281371,1.35324,0.0983723,1.37499,0,0
131,0.280097,-2.50697,-3.72333,0.676372,1163.53,37.2931,-8.53686,1157.91,377.292,0,0,0.00120473,0.0001817,-0.0293725,1.35528,0.0981878,1.37723,0,0
132,0.279158,-2.50687,-3.71808,0.681703,1156.73,37.8331,-6.94669,1151.07,381.845,0,0,0.00120473,0.0001817,-0.0306079,1.35732,0.0980032,1.37948,0,0
133,0.278219,-2.50676,-3.71284,0.687033,1149.94,38.3731,-5.35665,1144.22,386.397,0,0,0.00120473,0.0001817,-0.0318434,1.35937,0.0978178,1.38172,0,0
134,0.277281,-2.50665,-3.70759,0.692363,1143.14,38.913,-3.76649,1137.38,390.949,0,0,0.00120473,0.0001817,-0.0330788,1.36141,0.0976332,1.38397,0,0
135,0.276342,-2.50654,-3.70234,0.697694,1136.35,39.453,-2.17645,1130.53,395.501,0,0,0.00120473,0.0001817,-0.0343143,1.36346,0.0974478,1.38621,0,0
136,0.275404,-2.50643,-3.6971,0.703024,1129.55,39.9929,-0.58635,1123.69,400.053,0,0,0.00120473,0.0001817,-0.0355497,1.3655,0.0972632,1.38846,0,0
137,0.274465,-2.50633,-3.69185,0.708355,1122.76,40.5329,1.00382,1116.84,404.606,0,0,0.00120473,0.0001817,-0.0367851,1.36755,0.0970786,1.3907,0,0
138,0.273527,-2.50622,-3.68661,0.713685,1126.36,40.1885,-0.0039922,1119.36,411.679,0,0,0.00120473,0.0001817,-0.0377378,1.36335,0.0994084,1.38684,0,0
139,0.272588,-2.50611,-3.68136,0.719015,1136.22,39.3113,-2.57691,1127.53,420.273,0,0,0.00120473,0.0001817,-0.0385199,1.3554,0.103254,1.3793,0,0
140,0.27165,-2.506,-3.67611,0.724346,1146.08,38.434,-5.15016,1135.7,428.867,0,0,0.00120473,0.0001817,-0.0393022,1.34745,0.1071,1.37175,0,0
141,0.270711,-2.50589,-3.67087,0.729676,1155.94,37.5568,-7.72308,1143.86,437.46,0,0,0.00120473,0.0001817,-0.0400843,1.3395,0.110946,1.36421,0,0
142,0.268811,-2.50579,-3.66685,0.734125,1163.63,36.6687,-9.70638,1150.3,444.439,0,0,0.00120473,0.0001817,-0.0406217,1.3358,0.113708,1.36061,0,0
143,0.266912,-2.50569,-3.66283,0.738574,1171.32,35.7806,-11.6897,1156.75,451.419,0,0,0.00120473,0.0001817,-0.0411592,1.3321,0.11647,1.35701,0,0
144,0.265012,-2.50558,-3.6588,0.743022,1179,34.8925,-13.6732,1163.18,458.399,0,0,0.00120473,0.0001817,-0.0416967,1.3284,0.119231,1.35341,0,0
